PHRED	CADD-SV_score	CADD-SV-SR_score	CADD-SV-seqonly_score
50	0.967688363777944	0.965930495817634	0.716691049778493
47	0.967587604936129	0.965743784400543	0.712080944673876
45	0.967539744032186	0.965701597450425	0.710697172885623
44	0.967513732795315	0.965654111538254	0.705237709274896
43	0.967503249037466	0.965635724042604	0.700918182248444
42	0.967423761880498	0.965576869363531	0.699536105324789
41	0.967416405534547	0.965561121060906	0.697821548044121
40	0.967283842326023	0.965130509599103	0.693636082117469
39	0.96719101093847	0.9648989499883	0.692191240815821
38	0.967057898538115	0.964830857626604	0.689938192384975
37	0.966810249026877	0.964613283786649	0.688423692317855
36	0.966691470476484	0.964396240465794	0.686223085101028
35	0.966590019606687	0.964292951388215	0.684717140422526
34	0.966406721117616	0.964196561951248	0.682757208068889
33	0.966136158322865	0.964052793537874	0.679776728416735
32	0.96586561650184	0.963812681085846	0.6757164970192
31	0.96558914546355	0.96353555733924	0.672164959832052
30	0.965508127099004	0.963386315798769	0.670597488535111
29.9	0.9654786686054	0.963372496349592	0.670475765695728
29.8	0.965458050098048	0.96335758860463	0.670213923118525
29.7	0.965398654136059	0.963308320101944	0.66977629508855
29.6	0.965378830274246	0.963292893528127	0.669719883533903
29.5	0.965356276102427	0.963261078406382	0.668811524742122
29.4	0.9653324390563	0.963256445881286	0.668649661664567
29.3	0.965329042804286	0.963214943529996	0.668226755096197
29.2	0.965291775008507	0.963179679368672	0.667595288221828
29.1	0.965283402356348	0.963157231244671	0.667105685223137
29.0	0.965278574292989	0.963123084023716	0.666672560891348
28.9	0.965253619381023	0.963057062749622	0.666383413625263
28.8	0.965233773364465	0.963020062748826	0.666132345795176
28.7	0.965190639779471	0.962995275582843	0.665719404669417
28.6	0.96515028655855	0.962957312127833	0.665341696078745
28.5	0.96510858676336	0.962927921457329	0.665229873102143
28.4	0.965083229903235	0.962854804711543	0.664370936988465
28.3	0.965030400020338	0.962835669593732	0.664014266502667
28.2	0.965017251876334	0.962752093530967	0.663469288490141
28.1	0.96498926946209	0.962738059208854	0.663151541820092
28.0	0.96495868019318	0.962677589561707	0.662908592230828
27.9	0.964947410376667	0.962660698394814	0.662697700336437
27.8	0.964938499089588	0.962628199799995	0.662276221265083
27.7	0.964890144175636	0.962597596937335	0.6618946457235
27.6	0.964846692300201	0.962542842150721	0.660664772616482
27.5	0.964814890218094	0.962511298527402	0.65998824250462
27.4	0.964750593151008	0.962441747370888	0.659604953382054
27.3	0.964738002580076	0.962425675199052	0.65914372907066
27.2	0.964662333664295	0.962367133656327	0.658868249742912
27.1	0.964632154662111	0.962340519758465	0.658515414382893
27.0	0.964618597078483	0.962288946243718	0.65835996305601
26.9	0.964597284639645	0.962247592508812	0.657505257941227
26.8	0.964561179895816	0.9622102611087	0.657139630191153
26.7	0.96451724599501	0.962149358443127	0.656630617968916
26.6	0.964496894814619	0.962105323621353	0.656357775031365
26.5	0.964442241378627	0.962020637070659	0.655758541001892
26.4	0.964406295844946	0.961985478115613	0.65538329062485
26.3	0.964391936943747	0.96193371303715	0.654880764660645
26.2	0.964374875031928	0.961919715314064	0.654325205749478
26.1	0.964320188075841	0.961801988354704	0.653795933450283
26.0	0.964284893123955	0.961778283500762	0.653261438294359
25.9	0.964213573706104	0.961726291412305	0.652356307379256
25.8	0.964182560611106	0.961691311169925	0.651658391884252
25.7	0.964133932961434	0.961679227843794	0.651271703453809
25.6	0.964103094803349	0.9616404352844	0.651131572450321
25.5	0.964063707845884	0.961562230358079	0.650555891994141
25.4	0.964034336647508	0.961525203175797	0.650027117368544
25.3	0.963999922654656	0.961489709559408	0.649409513474016
25.2	0.963894165719826	0.961455378690752	0.64890119952837
25.1	0.963864655172275	0.961423154694866	0.648588486249318
25.0	0.963817147957789	0.9613719405043	0.648246566588113
24.9	0.963770025400921	0.961332475739247	0.647698703652959
24.8	0.963749051636632	0.961297673740344	0.647064010901567
24.7	0.963728678607499	0.961242750352571	0.646417058864087
24.6	0.963692342829237	0.961192372961874	0.645831402702117
24.5	0.963641879524825	0.961157422846646	0.645600428076287
24.4	0.963600840104711	0.96110718250309	0.645026965501318
24.3	0.963566122807555	0.961053922665868	0.644726696003552
24.2	0.963495818225052	0.960989843076341	0.644241141832594
24.1	0.963430457194501	0.960957396339855	0.643604064954562
24.0	0.963372829995832	0.960926071772056	0.643163571235012
23.9	0.963316929207585	0.960874932508699	0.642747053032827
23.8	0.963283616087043	0.960845115147223	0.642171198445029
23.7	0.963229970533852	0.960809400593928	0.641691687873406
23.6	0.963187898052312	0.960756056334423	0.641446570589527
23.5	0.963147726130943	0.960706078385269	0.640915089403364
23.4	0.963093844391689	0.960650765580496	0.640611535507617
23.3	0.963052170527601	0.96056382720565	0.640145099662794
23.2	0.96298201273337	0.960481073457709	0.639684304521565
23.1	0.96292654534812	0.96042661618187	0.639121216269756
23.0	0.96288066375399	0.960376799782268	0.63888523529304
22.9	0.962819668537805	0.960321574996612	0.638125363682076
22.8	0.962763779890496	0.960277544365804	0.637710455044945
22.7	0.962718792923001	0.960190163518358	0.636831547826884
22.6	0.962641207829954	0.960149662447919	0.636133390540735
22.5	0.962589959717796	0.960073080537456	0.63529695852933
22.4	0.962508098875326	0.959983223559411	0.634844317362801
22.3	0.962470697754144	0.959943817735271	0.63437441038667
22.2	0.962403374878253	0.959873600507158	0.633726536949108
