PHRED	CADD-SV_score	CADD-SV-SR_score	CADD-SV-seqonly_score
45	0.9677	0.9565	0.5639
44	0.9677	0.9564	0.5625
43	0.9677	0.9561	0.5606
42	0.9676	0.956	0.5572
41	0.9676	0.9559	0.5565
40	0.9676	0.9557	0.552
39	0.9675	0.9553	0.5486
38	0.9674	0.9553	0.5458
37	0.9673	0.955	0.5422
36	0.9672	0.9549	0.5378
35	0.9671	0.9547	0.5343
34	0.9669	0.9545	0.5306
33	0.9669	0.9544	0.5266
32	0.9667	0.9541	0.5205
31	0.9665	0.9537	0.5175
30	0.9664	0.9535	0.5155
29.9	0.9664	0.9535	0.515
29.8	0.9664	0.9535	0.5143
29.7	0.9664	0.9534	0.5139
29.6	0.9664	0.9534	0.5134
29.5	0.9664	0.9533	0.5128
29.4	0.9663	0.9533	0.5126
29.3	0.9663	0.9533	0.5123
29.2	0.9663	0.9532	0.5118
29.1	0.9662	0.9532	0.5113
29.0	0.9662	0.9531	0.5112
28.9	0.9662	0.9531	0.5108
28.8	0.9662	0.953	0.5106
28.7	0.9662	0.953	0.5103
28.6	0.9661	0.9529	0.5103
28.5	0.9661	0.9529	0.5098
28.4	0.9661	0.9529	0.5093
28.3	0.9661	0.9529	0.509
28.2	0.966	0.9528	0.5085
28.1	0.966	0.9528	0.5081
28.0	0.966	0.9527	0.5079
27.9	0.966	0.9527	0.5075
27.8	0.9659	0.9527	0.5072
27.7	0.9659	0.9527	0.5068
27.6	0.9658	0.9526	0.5065
27.5	0.9658	0.9526	0.506
27.4	0.9658	0.9525	0.5057
27.3	0.9658	0.9524	0.5054
27.2	0.9658	0.9524	0.5049
27.1	0.9657	0.9523	0.5045
27.0	0.9657	0.9523	0.5045
26.9	0.9657	0.9522	0.5037
26.8	0.9656	0.9522	0.5033
26.7	0.9656	0.9522	0.5029
26.6	0.9656	0.9521	0.5028
26.5	0.9655	0.9521	0.5025
26.4	0.9655	0.952	0.5022
26.3	0.9655	0.952	0.5017
26.2	0.9654	0.952	0.5013
26.1	0.9654	0.9519	0.5011
26.0	0.9654	0.9519	0.5008
25.9	0.9654	0.9518	0.4999
25.8	0.9653	0.9518	0.4996
25.7	0.9653	0.9518	0.4994
25.6	0.9653	0.9517	0.4992
25.5	0.9652	0.9517	0.4987
25.4	0.9652	0.9516	0.4983
25.3	0.9652	0.9516	0.4976
25.2	0.9651	0.9515	0.4972
25.1	0.9651	0.9515	0.4968
25.0	0.9651	0.9515	0.4965
24.9	0.965	0.9514	0.4959
24.8	0.965	0.9514	0.4955
24.7	0.965	0.9513	0.4953
24.6	0.9649	0.9512	0.4948
24.5	0.9649	0.9512	0.4944
24.4	0.9648	0.9511	0.494
24.3	0.9647	0.9511	0.4937
24.2	0.9647	0.9511	0.4933
24.1	0.9646	0.951	0.4928
24.0	0.9646	0.951	0.4925
23.9	0.9645	0.9509	0.4922
23.8	0.9645	0.9509	0.4917
23.7	0.9644	0.9508	0.4911
23.6	0.9644	0.9508	0.4906
23.5	0.9643	0.9507	0.4903
23.4	0.9643	0.9507	0.4897
23.3	0.9642	0.9506	0.4893
23.2	0.9641	0.9506	0.4887
23.1	0.9641	0.9505	0.4881
23.0	0.964	0.9505	0.4876
22.9	0.964	0.9504	0.4873
22.8	0.9639	0.9504	0.4869
22.7	0.9638	0.9503	0.4864
22.6	0.9638	0.9503	0.4859
22.5	0.9637	0.9502	0.4853
